id;ano;mes;dia;dia_semana;hora;aisp;municipio;bairro;latitude;longitude;natureza;idade;f_etaria;sexo;raca_cor;orientacao_sexual;id_vitima;populacao
202528070;2025;1;7;2;23;02 AISP - Sao Jose dos Pinhais;CAMPINA GRANDE DO SUL;TAQUARI;-25,30324751;-49,05346587;Praticar Homicidio Culposo na Direcao de Veiculo;63 anos;60+ (Idoso);Masculino;Branca;Heterossexual;18833;47799
202528551;2025;1;8;3;4;20 AISP - Londrina;LONDRINA;FRATERNIDADE;-23,312156;-51,16277342;Praticar Homicidio Culposo na Direcao de Veiculo;57 anos;25 ~ 59 anos (Adulto);Feminino;Nao Informado;Nao Informado;18831;555937
202528649;2025;1;8;3;9;19 AISP - Rolandia;ROLANDIA;VILA OLIVEIRA;-23,31359249;-51,36278036;Praticar Homicidio Culposo na Direcao de Veiculo;18 anos;15 ~ 24 anos (Jovem);Feminino;Branca;Nao Informado;18764;71670
202530547;2025;1;8;3;13;07 AISP - Guarapuava;PRUDENTOPOLIS;RODOVIA;-25,2160205;-50,98357509;Praticar Homicidio Culposo na Direcao de Veiculo;45 anos;25 ~ 59 anos (Adulto);Feminino;Nao Informado;Nao Informado;19075;49393
202530547;2025;1;8;3;13;07 AISP - Guarapuava;PRUDENTOPOLIS;RODOVIA;-25,2160205;-50,98357509;Praticar Homicidio Culposo na Direcao de Veiculo;47 anos;25 ~ 59 anos (Adulto);Masculino;Nao Informado;Nao Informado;18900;49393
202532967;2025;1;8;3;20;02 AISP - Sao Jose dos Pinhais;CAMPINA GRANDE DO SUL;RIBEIRAO;-25,30324751;-49,05346587;Praticar Homicidio Culposo na Direcao de Veiculo;67 anos;60+ (Idoso);Feminino;Nao Informado;Nao Informado;18787;47799
202533348;2025;1;8;3;20;06 AISP - Uniao Da Vitoria;PAULO FRONTIN;BR 476 KM 325;-26,04560758;-50,83319645;Praticar Homicidio Culposo na Direcao de Veiculo;35 anos;25 ~ 59 anos (Adulto);Feminino;Branca;Heterossexual;19010;6343
202533348;2025;1;8;3;20;06 AISP - Uniao Da Vitoria;PAULO FRONTIN;BR 476 KM 325;-26,04560758;-50,83319645;Praticar Homicidio Culposo na Direcao de Veiculo;46 anos;25 ~ 59 anos (Adulto);Masculino;Nao Informado;Nao Informado;18920;6343
202533417;2025;1;9;4;2;01 AISP - Curitiba;CURITIBA;CAMPINA DO SIQUEIRA;-25,432956;-49,27184789;Crimes Violentos Letais Intencionais (CVLI);39 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Heterossexual;33752;1773733
202533417;2025;1;9;4;2;01 AISP - Curitiba;CURITIBA;CAMPINA DO SIQUEIRA;-25,432956;-49,27184789;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);39 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Heterossexual;10744;1773733
